Soil_Type  ,Zinc(%),Copper(%),Iron(%),Nitrogen(%),Phosphorus(%) ,Potassium(%),Magnesium(%)
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
Loamy Soil  ,0.003,0.002,1,0.08,0.05,0.06,0.03
Silt Soil  ,0.004,0.002,1.5,0.12,0.09,0.11,0.07
Peaty Soil  ,0.001,0.001,0.8,0.06,0.04,0.05,0.02
Chalky Soil  ,0.002,0.001,0.3,0.04,0.02,0.03,0.01
Saline Soil  ,0.001,0.001,0.2,0.03,0.01,0.02,0.01
Sandy Soil  ,0.002,0.001,0.5,0.05,0.03,0.04,0.01
Clay Soil  ,0.005,0.003,2,0.1,0.07,0.09,0.05
